job_title,role,industry
 Opportunity For Current Account RM ||bank || Delhi,Retail Sales,"Banking, Financial Services, Broking"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Senior Engineering Maintenance Manager For Knitting and ZLD System,Production/Manufacturing/Maintenance,"Textiles, Garments, Accessories"
 Accounting Specialist,Accounts,"IT-Software, Software Services"
 Manager (Service Operation),HR/ Recruitment / IR,"Construction, Engineering, Cement, Metals"
 DevOps Engineer Intern,Programming & Design,"IT-Software, Software Services"
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),Programming & Design,"IT-Software, Software Services"
 Java Developer,Programming & Design,"IT-Software, Software Services"
 Sr. Manager- Business Development,Corporate Sales,"Construction, Engineering, Cement, Metals"
 Test Principal Engineer,Programming & Design,"IT-Software, Software Services"
 Graphic Designer,Creative,"Architecture, Interior Design"
 Business Development Executive,Corporate Sales,"Recruitment, Staffing"
 Animation Resident,Advertising,"Advertising, PR, MR, Event Management"
Enterprise Business Development Representative,Channel Sales,IT-Software / Software Services
 Dot Net Developer,Programming & Design,"IT-Software, Software Services"
" Urgent Opening for ""US Staffing Professionals"" - Noida",HR/ Recruitment / IR,"Recruitment, Staffing"
 Front Office Executive-Noida,,"Recruitment, Staffing"
 Project Executive/coordinator,Sales Support,"Industrial Products, Heavy Machinery"
 Sterling OMS Architect,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Dot net Developer,Programming & Design,"IT-Software, Software Services"
 Centreless Grinding Operator ,Production/Manufacturing/Maintenance,"Internet, Ecommerce"
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,Programming & Design,"Recruitment, Staffing"
 Sales Lead,Retail Sales,"Internet, Ecommerce"
 Clerk - Garh Shankar (Vacancy-1),,"Government, Defence"
 Senior Design Engineer - Manufacturing,Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery"
 Software Engineer Automation - Industrial Automation Job In Bangalore,Engineering Design,"Industrial Products, Heavy Machinery"
 Looking For Assistant Manager - Healthcare (US Visa is Must),Back Office/Web/Transaction Processing,"Medical, Healthcare, Hospitals"
 Senior Accounts Executive,Accounts,"Recruitment, Staffing"
 QA for Voice Process (LE-0097-N1C),Quality,"Internet, Ecommerce"
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",,"Medical, Healthcare, Hospitals"
,,
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,Analytics & BI,"IT-Software, Software Services"
 Executive Medical Coder,Other,"Medical, Healthcare, Hospitals"
 Account Assistant,Accounts,"Architecture, Interior Design"
 Informatica Faculty Job Requirement in Hyderabad,Programming & Design,"IT-Software, Software Services"
 SEO Expert/ Digital Marketing Gurgaon,Online/Digital Marketing,"Advertising, PR, MR, Event Management"
 Head Engineering,Production/Manufacturing/Maintenance,"Pharma, Biotech, Clinical Research"
 Business Development Executive,Finance/Audit,"Oil and Gas, Energy, Power, Infrastructure"
 PPC Executive,Online/Digital Marketing,"IT-Software, Software Services"
 Opening For the post of Mr/territory Business Manager in An Pharma,Retail Sales,"Pharma, Biotech, Clinical Research"
 Deputy Manager - Program Management,Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery"
 Public Relations Manager - Bangalore,Public Relations,"Advertising, PR, MR, Event Management"
 Female Fresher's Counsellor- Gurgaon,Other,"Education, Teaching, Training"
 BE Chemical - Fresher,Other,"Recruitment, Staffing"
 Senior .Net Developer For Leading IT Company in Gurgaon,Programming & Design,"IT-Software, Software Services"
 Hiring a Valuation Associate (female Only),Other,"Real Estate, Property"
 Merchandising & Marketing- Professor,University Level,"Education, Teaching, Training"
 Medical Transcriber,Drug Regulatory Affairs/Documentation,"Medical, Healthcare, Hospitals"
 PHP Developer,Programming & Design,"IT-Software, Software Services"
 Business Development Manager,Retail Sales,"Education, Teaching, Training"
 Looking for a Job Change With a good package,Voice,"IT-Software, Software Services"
 Huge Requirement for Customer Care Executive with Fixed Salary,Voice,"IT-Software, Software Services"
Assistant Manager – BI&I (data Automation),Admin/Maintenance/Security/Datawarehousing,Banking / Financial Services / Broking
 Field Sales Executive,Retail Sales,"Real Estate, Property"
 Sr. Manager Sales Capability Building,Sales Support,"FMCG, Foods, Beverage"
 Service Ops Expert - Servc Del | Microland,Voice,"IT-Software, Software Services"
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females),Teachers,"Wellness , Fitness , Sports, Beauty"
 Sales Manager,Retail Sales,"IT-Software, Software Services"
 Field Support Team-Supervisor,Admin/Maintenance/Security/Datawarehousing,Other
 Sr. C# Developer,Programming & Design,"IT-Software, Software Services"
 Sr Structural Engineer,Engineering Design,"Strategy, Management Consulting Firms"
 IT Security Head ,Senior Management,"IT-Software, Software Services"
 Technical Support Executive,Voice,"Internet, Ecommerce"
 Analyst - Business Intelligence,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
Nokia WING Circuit Core - SMSC Engineer,Programming & Design,Telecom / ISP
 Assistant Restaurant Manager / Restaurant Manager,Food & Beverage,"Travel , Hotels , Restaurants , Airlines , Railways"
 Digital / Web Artist,Creative,"Advertising, PR, MR, Event Management"
 Business Development Manager,Senior Management,"IT-Software, Software Services"
 Web/ GUI Designer,Creative,"IT-Software, Software Services"
" Web Designer - Html, CSS, Bootstrap, Photoshop",Programming & Design,"Recruitment, Staffing"
 Python Developer,Programming & Design,"Recruitment, Staffing"
 Web Designer,Programming & Design,"IT-Software, Software Services"
 AVP- FX MO,Senior Management,"Recruitment, Staffing"
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura,Senior Management,Insurance
 Head - Project Management,Senior Management,"Real Estate, Property"
 Walk- In For Development QA/ Regulatory Affairs,R&D,"Pharma, Biotech, Clinical Research"
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp),Accounts,Iron and Steel
 Team Leader- Head Digital Prtnrshp & BD,Retail Sales,"Construction, Engineering, Cement, Metals"
 DWH Tester - Manual Testing,Programming & Design,"IT-Software, Software Services"
